[run] M-ours-dscore: built from explicit ckpt ckpt/d2sx_N10000_a1.pt -- caller override, NOT verified against the gate record here (recorded PASS rows: none)
[run] D2 7 points x n=640 -> 112 tasks on 112 workers (prior S2, cells ['C2'], chunk 40) -> /home/HTJ/t2/conf/raw_supp
61/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr-3_skip0_n40.npz  (161 s)  BLER16: R2-ours-G=0.40 R3-bigamp=0.75 R4-scvamp=0.70 M-ours-gmm32=0.30 R5-genie=0.07
62/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr9_skip200_n40.npz  (162 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.07 R4-scvamp=0.17 M-ours-gmm32=0.00 R5-genie=0.00
63/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr6_skip360_n40.npz  (163 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.07 R4-scvamp=0.12 M-ours-gmm32=0.00 R5-genie=0.00
64/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr-3_skip320_n40.npz  (164 s)  BLER16: R2-ours-G=0.17 R3-bigamp=0.53 R4-scvamp=0.55 M-ours-gmm32=0.12 R5-genie=0.00
65/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr-3_skip160_n40.npz  (166 s)  BLER16: R2-ours-G=0.38 R3-bigamp=0.57 R4-scvamp=0.60 M-ours-gmm32=0.28 R5-genie=0.00
66/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr0_skip160_n40.npz  (166 s)  BLER16: R2-ours-G=0.12 R3-bigamp=0.25 R4-scvamp=0.28 M-ours-gmm32=0.07 R5-genie=0.00
67/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr3_skip80_n40.npz  (167 s)  BLER16: R2-ours-G=0.05 R3-bigamp=0.10 R4-scvamp=0.17 M-ours-gmm32=0.07 R5-genie=0.00
68/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr15_skip320_n40.npz  (169 s)  BLER16: R2-ours-G=0.03 R3-bigamp=0.05 R4-scvamp=0.07 M-ours-gmm32=0.00 R5-genie=0.00
69/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr0_skip600_n40.npz  (169 s)  BLER16: R2-ours-G=0.10 R3-bigamp=0.15 R4-scvamp=0.17 M-ours-gmm32=0.10 R5-genie=0.00
70/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr-3_skip120_n40.npz  (169 s)  BLER16: R2-ours-G=0.40 R3-bigamp=0.47 R4-scvamp=0.65 M-ours-gmm32=0.28 R5-genie=0.00
71/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr12_skip440_n40.npz  (169 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.05 R4-scvamp=0.05 M-ours-gmm32=0.00 R5-genie=0.00
72/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr9_skip280_n40.npz  (169 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.07 R4-scvamp=0.07 M-ours-gmm32=0.00 R5-genie=0.00
73/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr3_skip600_n40.npz  (169 s)  BLER16: R2-ours-G=0.05 R3-bigamp=0.10 R4-scvamp=0.12 M-ours-gmm32=0.05 R5-genie=0.03
74/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr3_skip160_n40.npz  (170 s)  BLER16: R2-ours-G=0.03 R3-bigamp=0.05 R4-scvamp=0.10 M-ours-gmm32=0.00 R5-genie=0.00
75/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr9_skip80_n40.npz  (171 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.03 R4-scvamp=0.03 M-ours-gmm32=0.00 R5-genie=0.00
76/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr15_skip440_n40.npz  (171 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.03 R4-scvamp=0.00 M-ours-gmm32=0.00 R5-genie=0.00
77/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr0_skip520_n40.npz  (171 s)  BLER16: R2-ours-G=0.03 R3-bigamp=0.12 R4-scvamp=0.25 M-ours-gmm32=0.05 R5-genie=0.00
78/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr15_skip40_n40.npz  (172 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.12 R4-scvamp=0.05 M-ours-gmm32=0.00 R5-genie=0.00
79/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr3_skip40_n40.npz  (172 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.03 R4-scvamp=0.20 M-ours-gmm32=0.00 R5-genie=0.00
80/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr12_skip0_n40.npz  (172 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.07 R4-scvamp=0.05 M-ours-gmm32=0.03 R5-genie=0.00
81/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr0_skip480_n40.npz  (172 s)  BLER16: R2-ours-G=0.12 R3-bigamp=0.23 R4-scvamp=0.42 M-ours-gmm32=0.12 R5-genie=0.00
82/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr0_skip400_n40.npz  (172 s)  BLER16: R2-ours-G=0.07 R3-bigamp=0.33 R4-scvamp=0.25 M-ours-gmm32=0.10 R5-genie=0.05
83/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr6_skip320_n40.npz  (172 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.05 R4-scvamp=0.12 M-ours-gmm32=0.00 R5-genie=0.00
84/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr15_skip480_n40.npz  (172 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.05 R4-scvamp=0.00 M-ours-gmm32=0.00 R5-genie=0.00
85/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr15_skip120_n40.npz  (172 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.03 R4-scvamp=0.00 M-ours-gmm32=0.00 R5-genie=0.00
86/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr3_skip200_n40.npz  (172 s)  BLER16: R2-ours-G=0.03 R3-bigamp=0.05 R4-scvamp=0.23 M-ours-gmm32=0.05 R5-genie=0.00
