
# ===== 2026-09-22 12:08:31 KST  D1V3160000 attempt 1  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=144000 n_val=16000 split_hash=c55ca8380705f89d E||H||_F^2/(NrNt)=0.999828 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.002238046051591068, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}  params=479426
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
# jac_reg     : V3, loss += 0.01 * E_v||(J-J^T)v||^2, J = d tweedie_real/dx, 1 Rademacher probe/sample, lambda FIXED (10_SPEC_stageC §3b, never tuned). val loss / early stopping unchanged (pure DSM).
epoch   64 | train 7.399719e-01 | val 7.399173e-01 |  64.950 s | best 7.399173e-01 @64 * | asym_reg 4.222735e-02
epoch   65 | train 7.392246e-01 | val 7.399220e-01 |  69.106 s | best 7.399173e-01 @64 | asym_reg 4.228732e-02
epoch   66 | train 7.393725e-01 | val 7.399357e-01 |  69.657 s | best 7.399173e-01 @64 | asym_reg 4.163214e-02
epoch   67 | train 7.402417e-01 | val 7.399377e-01 |  68.829 s | best 7.399173e-01 @64 | asym_reg 4.190930e-02
epoch   68 | train 7.381904e-01 | val 7.399446e-01 |  70.749 s | best 7.399173e-01 @64 | asym_reg 4.163756e-02
epoch   69 | train 7.397614e-01 | val 7.399224e-01 |  63.078 s | best 7.399173e-01 @64 | asym_reg 4.152670e-02
epoch   70 | train 7.382826e-01 | val 7.399294e-01 |  63.564 s | best 7.399173e-01 @64 | asym_reg 4.083436e-02
epoch   71 | train 7.383865e-01 | val 7.399280e-01 |  62.741 s | best 7.399173e-01 @64 | asym_reg 4.180178e-02
epoch   72 | train 7.395129e-01 | val 7.399180e-01 |  62.511 s | best 7.399173e-01 @64 | asym_reg 4.108953e-02
epoch   73 | train 7.411098e-01 | val 7.399195e-01 |  62.687 s | best 7.399173e-01 @64 | asym_reg 4.054364e-02
epoch   74 | train 7.398180e-01 | val 7.399077e-01 |  61.243 s | best 7.399077e-01 @74 * | asym_reg 4.115609e-02
epoch   75 | train 7.388171e-01 | val 7.399116e-01 |  61.950 s | best 7.399077e-01 @74 | asym_reg 4.025868e-02
epoch   76 | train 7.387575e-01 | val 7.399110e-01 |  62.602 s | best 7.399077e-01 @74 | asym_reg 4.099205e-02
epoch   77 | train 7.411092e-01 | val 7.399307e-01 |  62.765 s | best 7.399077e-01 @74 | asym_reg 4.077403e-02
epoch   78 | train 7.382592e-01 | val 7.399267e-01 |  62.360 s | best 7.399077e-01 @74 | asym_reg 4.086022e-02
epoch   79 | train 7.400056e-01 | val 7.399259e-01 |  62.288 s | best 7.399077e-01 @74 | asym_reg 4.063267e-02
epoch   80 | train 7.392367e-01 | val 7.399168e-01 |  62.405 s | best 7.399077e-01 @74 | asym_reg 4.090983e-02
epoch   81 | train 7.400374e-01 | val 7.399183e-01 |  62.260 s | best 7.399077e-01 @74 | asym_reg 4.014235e-02
