
# ===== 2026-09-22 12:08:31 KST  D1V3160000 attempt 2  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=144000 n_val=16000 split_hash=c55ca8380705f89d E||H||_F^2/(NrNt)=0.999828 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.002238046051591068, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}  params=479426
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
# jac_reg     : V3, loss += 0.1 * E_v||(J-J^T)v||^2, J = d tweedie_real/dx, 1 Rademacher probe/sample, lambda FIXED (10_SPEC_stageC §3b, never tuned). val loss / early stopping unchanged (pure DSM).
epoch   65 | train 7.468351e-01 | val 7.448990e-01 |  64.666 s | best 7.422616e-01 @33 | asym_reg 4.466674e-02 | gnorm mean 4.723e-01 max 2.841e+00
epoch   66 | train 7.519430e-01 | val 7.496530e-01 |  72.013 s | best 7.422616e-01 @33 | asym_reg 5.126741e-02 | gnorm mean 6.797e-01 max 5.934e+00
epoch   67 | train 7.439710e-01 | val 7.463933e-01 |  73.726 s | best 7.422616e-01 @33 | asym_reg 3.480469e-02 | gnorm mean 2.998e-01 max 1.685e+00
epoch   68 | train 7.475725e-01 | val 7.455155e-01 |  72.634 s | best 7.422616e-01 @33 | asym_reg 4.575949e-02 | gnorm mean 4.429e-01 max 2.439e+00
epoch   69 | train 7.472151e-01 | val 7.457991e-01 |  73.038 s | best 7.422616e-01 @33 | asym_reg 4.228216e-02 | gnorm mean 4.133e-01 max 2.393e+00
epoch   70 | train 7.474601e-01 | val 7.457615e-01 |  63.309 s | best 7.422616e-01 @33 | asym_reg 4.358693e-02 | gnorm mean 4.577e-01 max 1.920e+00
epoch   71 | train 7.501422e-01 | val 7.471321e-01 |  63.534 s | best 7.422616e-01 @33 | asym_reg 5.406746e-02 | gnorm mean 5.154e-01 max 3.807e+00
epoch   72 | train 7.496593e-01 | val 7.473977e-01 |  62.744 s | best 7.422616e-01 @33 | asym_reg 4.565492e-02 | gnorm mean 4.700e-01 max 4.067e+00
epoch   73 | train 7.461036e-01 | val 7.491266e-01 |  53.729 s | best 7.422616e-01 @33 | asym_reg 4.598347e-02 | gnorm mean 4.082e-01 max 3.683e+00
epoch   74 | train 7.524811e-01 | val 7.489927e-01 |  62.575 s | best 7.422616e-01 @33 | asym_reg 4.964845e-02 | gnorm mean 4.585e-01 max 3.146e+00
epoch   75 | train 7.541586e-01 | val 7.486910e-01 |  61.024 s | best 7.422616e-01 @33 | asym_reg 6.738916e-02 | gnorm mean 5.373e-01 max 3.472e+00
epoch   76 | train 7.556773e-01 | val 7.496648e-01 |  61.912 s | best 7.422616e-01 @33 | asym_reg 5.674102e-02 | gnorm mean 5.480e-01 max 4.806e+00
epoch   77 | train 7.506513e-01 | val 7.498041e-01 |  62.614 s | best 7.422616e-01 @33 | asym_reg 5.580804e-02 | gnorm mean 4.369e-01 max 2.597e+00
epoch   78 | train 7.531205e-01 | val 7.500772e-01 |  62.475 s | best 7.422616e-01 @33 | asym_reg 5.899147e-02 | gnorm mean 4.828e-01 max 3.662e+00
epoch   79 | train 7.505005e-01 | val 7.498058e-01 |  62.335 s | best 7.422616e-01 @33 | asym_reg 5.470850e-02 | gnorm mean 3.940e-01 max 1.652e+00
epoch   80 | train 7.505432e-01 | val 7.496469e-01 |  62.322 s | best 7.422616e-01 @33 | asym_reg 5.543726e-02 | gnorm mean 4.457e-01 max 2.061e+00
epoch   81 | train 7.528005e-01 | val 7.490016e-01 |  62.367 s | best 7.422616e-01 @33 | asym_reg 5.982683e-02 | gnorm mean 4.985e-01 max 2.952e+00
epoch   82 | train 7.575086e-01 | val 7.521698e-01 |  62.604 s | best 7.422616e-01 @33 | asym_reg 5.760254e-02 | gnorm mean 6.444e-01 max 9.243e+00
epoch   83 | train 7.531952e-01 | val 7.538370e-01 |  62.526 s | best 7.422616e-01 @33 | asym_reg 5.452020e-02 | gnorm mean 5.764e-01 max 7.695e+00
epoch   84 | train 7.594223e-01 | val 7.560032e-01 |  62.433 s | best 7.422616e-01 @33 | asym_reg 6.086653e-02 | gnorm mean 7.027e-01 max 9.397e+00
epoch   85 | train 7.565158e-01 | val 7.545951e-01 |  62.195 s | best 7.422616e-01 @33 | asym_reg 6.270017e-02 | gnorm mean 4.333e-01 max 2.924e+00
epoch   86 | train 7.592978e-01 | val 7.541352e-01 |  62.269 s | best 7.422616e-01 @33 | asym_reg 7.065471e-02 | gnorm mean 5.462e-01 max 5.647e+00
epoch   87 | train 7.562194e-01 | val 7.540011e-01 |  62.343 s | best 7.422616e-01 @33 | asym_reg 5.778349e-02 | gnorm mean 4.552e-01 max 2.648e+00
epoch   88 | train 7.577213e-01 | val 7.557682e-01 |  62.268 s | best 7.422616e-01 @33 | asym_reg 6.829246e-02 | gnorm mean 9.231e-01 max 5.472e+00
epoch   89 | train 7.534644e-01 | val 7.538300e-01 |  62.175 s | best 7.422616e-01 @33 | asym_reg 5.369590e-02 | gnorm mean 4.472e-01 max 3.322e+00
epoch   90 | train 7.571885e-01 | val 7.528397e-01 |  62.121 s | best 7.422616e-01 @33 | asym_reg 6.288603e-02 | gnorm mean 7.092e-01 max 1.261e+01
epoch   91 | train 7.571442e-01 | val 7.557185e-01 |  61.729 s | best 7.422616e-01 @33 | asym_reg 5.832804e-02 | gnorm mean 4.800e-01 max 2.324e+00
epoch   92 | train 7.531652e-01 | val 7.563971e-01 |  61.321 s | best 7.422616e-01 @33 | asym_reg 5.449613e-02 | gnorm mean 7.306e-01 max 3.887e+00
epoch   93 | train 7.539190e-01 | val 7.540558e-01 |  62.201 s | best 7.422616e-01 @33 | asym_reg 5.480650e-02 | gnorm mean 5.405e-01 max 3.625e+00
epoch   94 | train 7.521106e-01 | val 7.539430e-01 |  52.357 s | best 7.422616e-01 @33 | asym_reg 5.790391e-02 | gnorm mean 4.446e-01 max 2.899e+00
epoch   95 | train 7.513014e-01 | val 7.553864e-01 |  84.115 s | best 7.422616e-01 @33 | asym_reg 5.451437e-02 | gnorm mean 4.209e-01 max 1.461e+00
epoch   96 | train 7.522768e-01 | val 7.524332e-01 |  91.496 s | best 7.422616e-01 @33 | asym_reg 5.518131e-02 | gnorm mean 4.013e-01 max 2.515e+00
epoch   97 | train 7.510114e-01 | val 7.529129e-01 |  91.293 s | best 7.422616e-01 @33 | asym_reg 5.350290e-02 | gnorm mean 3.634e-01 max 3.443e+00
epoch   98 | train 7.575612e-01 | val 7.559658e-01 |  92.847 s | best 7.422616e-01 @33 | asym_reg 5.004365e-02 | gnorm mean 5.826e-01 max 8.739e+00
epoch   99 | train 7.509518e-01 | val 7.544982e-01 |  92.039 s | best 7.422616e-01 @33 | asym_reg 5.311215e-02 | gnorm mean 4.478e-01 max 1.786e+00
epoch  100 | train 7.516207e-01 | val 7.524314e-01 |  91.451 s | best 7.422616e-01 @33 | asym_reg 5.350921e-02 | gnorm mean 4.323e-01 max 6.806e+00
