
# ===== 2026-09-21 16:17:01 KST  D1V2160000 attempt 3  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=144000 n_val=16000 split_hash=c55ca8380705f89d E||H||_F^2/(NrNt)=0.999828 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.000746015350530356, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1, 'head': 'energy'}  params=479361
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
epoch   61 | train 7.381219e-01 | val 7.399560e-01 |  53.552 s | best 7.399362e-01 @58 | gnorm mean 4.709e-02 max 1.353e-01
epoch   62 | train 7.390099e-01 | val 7.399588e-01 |  53.651 s | best 7.399362e-01 @58 | gnorm mean 4.712e-02 max 1.216e-01
epoch   63 | train 7.380435e-01 | val 7.399475e-01 |  52.946 s | best 7.399362e-01 @58 | gnorm mean 4.704e-02 max 1.253e-01
epoch   64 | train 7.384684e-01 | val 7.399449e-01 |  50.271 s | best 7.399362e-01 @58 | gnorm mean 4.615e-02 max 1.312e-01
epoch   65 | train 7.388347e-01 | val 7.399341e-01 |  52.445 s | best 7.399341e-01 @65 * | gnorm mean 4.578e-02 max 1.034e-01
epoch   66 | train 7.388466e-01 | val 7.399189e-01 |  54.043 s | best 7.399189e-01 @66 * | gnorm mean 4.557e-02 max 1.008e-01
epoch   67 | train 7.375525e-01 | val 7.399141e-01 |  54.548 s | best 7.399141e-01 @67 * | gnorm mean 4.735e-02 max 1.113e-01
epoch   68 | train 7.382796e-01 | val 7.399195e-01 |  54.687 s | best 7.399141e-01 @67 | gnorm mean 4.550e-02 max 9.774e-02
epoch   69 | train 7.388857e-01 | val 7.399271e-01 |  54.278 s | best 7.399141e-01 @67 | gnorm mean 4.410e-02 max 1.095e-01
epoch   70 | train 7.380799e-01 | val 7.399235e-01 |  53.391 s | best 7.399141e-01 @67 | gnorm mean 4.632e-02 max 1.106e-01
epoch   71 | train 7.379070e-01 | val 7.399043e-01 |  54.405 s | best 7.399043e-01 @71 * | gnorm mean 4.383e-02 max 1.024e-01
epoch   72 | train 7.378641e-01 | val 7.399003e-01 |  54.409 s | best 7.399003e-01 @72 * | gnorm mean 4.346e-02 max 1.272e-01
epoch   73 | train 7.387495e-01 | val 7.398745e-01 |  54.337 s | best 7.398745e-01 @73 * | gnorm mean 4.481e-02 max 1.021e-01
epoch   74 | train 7.379622e-01 | val 7.398676e-01 |  54.326 s | best 7.398676e-01 @74 * | gnorm mean 4.451e-02 max 1.054e-01
epoch   75 | train 7.384817e-01 | val 7.398837e-01 |  54.314 s | best 7.398676e-01 @74 | gnorm mean 4.865e-02 max 1.362e-01
epoch   76 | train 7.382356e-01 | val 7.399025e-01 |  52.152 s | best 7.398676e-01 @74 | gnorm mean 4.570e-02 max 1.011e-01
epoch   77 | train 7.372075e-01 | val 7.398953e-01 |  51.633 s | best 7.398676e-01 @74 | gnorm mean 4.303e-02 max 1.095e-01
epoch   78 | train 7.382458e-01 | val 7.398939e-01 |  53.158 s | best 7.398676e-01 @74 | gnorm mean 4.337e-02 max 1.179e-01
epoch   79 | train 7.370704e-01 | val 7.398959e-01 |  53.521 s | best 7.398676e-01 @74 | gnorm mean 4.356e-02 max 8.782e-02
epoch   80 | train 7.378685e-01 | val 7.399167e-01 |  53.959 s | best 7.398676e-01 @74 | gnorm mean 4.198e-02 max 1.044e-01
epoch   81 | train 7.396160e-01 | val 7.399306e-01 |  54.038 s | best 7.398676e-01 @74 | gnorm mean 4.275e-02 max 1.069e-01
epoch   82 | train 7.375918e-01 | val 7.399155e-01 |  53.286 s | best 7.398676e-01 @74 | gnorm mean 4.197e-02 max 1.173e-01
epoch   83 | train 7.378093e-01 | val 7.399177e-01 |  54.029 s | best 7.398676e-01 @74 | gnorm mean 4.238e-02 max 9.572e-02
epoch   84 | train 7.387115e-01 | val 7.399224e-01 |  45.532 s | best 7.398676e-01 @74 | gnorm mean 4.290e-02 max 1.124e-01
epoch   85 | train 7.379705e-01 | val 7.399381e-01 |  20.727 s | best 7.398676e-01 @74 | gnorm mean 4.211e-02 max 1.203e-01
epoch   86 | train 7.386321e-01 | val 7.399351e-01 |  20.698 s | best 7.398676e-01 @74 | gnorm mean 4.186e-02 max 1.041e-01
epoch   87 | train 7.389990e-01 | val 7.399231e-01 |  20.762 s | best 7.398676e-01 @74 | gnorm mean 4.175e-02 max 9.939e-02
epoch   88 | train 7.376186e-01 | val 7.399311e-01 |  20.687 s | best 7.398676e-01 @74 | gnorm mean 4.301e-02 max 9.807e-02
epoch   89 | train 7.387319e-01 | val 7.399321e-01 |  44.045 s | best 7.398676e-01 @74 | gnorm mean 4.082e-02 max 1.077e-01
epoch   90 | train 7.377400e-01 | val 7.399323e-01 |  50.899 s | best 7.398676e-01 @74 | gnorm mean 4.299e-02 max 1.147e-01
epoch   91 | train 7.393404e-01 | val 7.399470e-01 |  44.056 s | best 7.398676e-01 @74 | gnorm mean 4.064e-02 max 1.331e-01
epoch   92 | train 7.378677e-01 | val 7.399538e-01 |  53.902 s | best 7.398676e-01 @74 | gnorm mean 4.241e-02 max 9.417e-02
epoch   93 | train 7.391301e-01 | val 7.399597e-01 |  53.862 s | best 7.398676e-01 @74 | gnorm mean 4.102e-02 max 1.042e-01
epoch   94 | train 7.381623e-01 | val 7.399802e-01 |  53.839 s | best 7.398676e-01 @74 | gnorm mean 4.204e-02 max 9.749e-02
epoch   95 | train 7.380265e-01 | val 7.399937e-01 |  53.836 s | best 7.398676e-01 @74 | gnorm mean 4.192e-02 max 1.018e-01
