trial,gate_score,sec,err,arch,param,domain,width,depth,lr,ema,batch,emb,heads,patch,params,epochs,val_loss,stopped_by,GA,GB,GC,GD,GD_trace
14,2.0307615287708396,306.3,,unet,ve,angle,16,4,0.001073581820707622,0.99,256,64,,,266034,153,0.7305971384048462,patience,2.3747848353424693e-16,0.06928660537662168,0.30461422931562593,0.3918359186233836,0.07522429714249518
10,9.769167856564966,254.6,,adm,vp,pixel,48,8,7.579831109254122e-05,0.9995,512,128,2,,3362354,185,0.7521615624427795,patience,1.7016819359132896e-15,0.1766448045064739,1.4653751784847449,0.5056218032552016,0.41356224182237417
26,621.7600263921256,67.1,,conv,ve,angle,128,6,0.0026116703619685467,0.999,256,64,,,1800578,21,0.9630151987075806,patience,2.954808278073757e-16,31.088001319606285,23.015603781744286,1.9580085586829872,2.00307740973505
15,10.871910657694244,86.9,,unet,edm,angle,128,4,0.0017526399131031923,0.9995,512,256,,,16748930,18,0.9905520677566528,patience,1.3189131626924196e-16,0.5435955328847122,0.9172796659901744,0.7546135525534444,0.5458422647714352
0,12.415123041955791,235.7,,uvit,vp,pixel,128,7,0.0020579379494208116,0.999,128,64,2,1,1516584,71,0.7773415446281433,patience,1.6055581519523583e-15,0.4877633436364597,1.8622684562933687,1.3956393174334465,0.7529672048999629
1,5.172493460485491,123.9,,mlp,vp,angle,384,6,0.00015669051530511465,0.999,256,64,,,1996480,198,0.7693791389465332,patience,9.254609702703092e-16,0.1755005144975501,0.7758740190728236,0.4766679117921718,0.18820815612598876
27,1.9967293921210718,194.7,,conv,ve,angle,16,5,0.002280936396719005,0.9995,512,128,,,26130,600,0.7295924425125122,max_epochs,2.689308265481119e-16,0.06867629323986923,0.2748386769495132,0.3993458784242144,0.08502737748711757
2,19.57150112849731,121.5,,mlp,vp,angle,384,2,0.00041527480066980144,0.9999,512,256,,,887488,600,0.8401224613189697,max_epochs,7.08582189319238e-16,0.9785750564248656,0.7836001352677117,1.2202585848923813,1.482499050883464
28,2.6118628930938965,72.9,,conv,ve,pixel,16,2,0.0029264057459623817,0.999,512,128,,,12210,557,0.7328610420227051,patience,2.1213899889887988e-16,0.06241954484615686,0.3917794339640845,0.3210245802606613,0.054461615278137025
16,10.877410906079703,250.5,,unet,edm,pixel,128,8,0.00490814130554794,0.999,256,256,,,20096642,87,0.9906421303749084,patience,1.211604203677072e-16,0.5438705453039852,0.9176075551047072,0.7547235377512549,0.5460662902874185
17,3.016940603007389,291.7,,unet,edm,pixel,128,3,0.00045148214637097975,0.9995,128,256,,,16748930,89,0.8206440806388855,patience,1.9294374531410768e-16,0.019151130404061245,0.4525410904511083,0.1825573975942944,0.0286323654817927
11,45.20969801138215,619.5,,adm,vp,angle,64,5,0.00417196020502985,0.99,128,128,2,,5023810,125,0.9730519652366638,patience,3.0349856309420663e-16,2.2604849005691077,0.9810987976748219,1.8985425313965134,2.2599267962936693
3,6.529435228914648,466.0,,mlp,vp,pixel,512,6,8.409773720733407e-05,0.9999,128,256,,,3612224,519,0.7497178316116333,patience,1.2737745395652262e-15,0.11984107537053434,0.9794152843371972,0.40365734945953846,0.24004379906861234
29,38.79588970084617,412.9,,conv,ve,angle,32,4,0.003182490328023864,0.9999,128,256,,,84450,249,0.7671315670013428,patience,2.052804149302974e-16,1.5319180932773349,5.819383455126925,0.7067702617806106,0.6282953952507092
18,1.8050711901210592,131.8,,unet,ve,angle,128,4,0.00028749315469643155,0.99,512,128,,,16683394,51,0.7294791340827942,patience,2.5942883179212224e-16,0.04792066424629415,0.26059429122716343,0.36101423802421184,0.07172949686628263
1,2.728979541361752,710.8,,uvit,vp,angle,192,5,0.001173687056235568,0.9995,128,256,4,1,2466280,291,0.740955114364624,patience,8.795002998328868e-16,0.07107107609052332,0.4093469312042628,0.4080879950523295,0.08036115579834162
