trial,gate_score,sec,err,arch,param,domain,width,depth,lr,ema,batch,emb,heads,patch,params,epochs,val_loss,stopped_by,GA,GB,GC,GD,GD_trace
388,1.7339057119389283,298.4,,dit,vp,angle,64,6,0.0028061297882658797,0.999,256,256,8,1,479426,185,0.7281613349914551,patience,9.952812732734247e-16,0.014038143994407282,0.26008585679083923,0.16289119302778124,0.04660222980780013
389,2.204667331589556,265.6,,adm,edm,pixel,48,5,0.0005435419002717065,0.999,128,64,4,,2822450,73,0.8198608756065369,patience,2.0564989527051657e-16,0.019562094384399042,0.3307000997384334,0.17623980636749234,0.023648475026748727
383,6.911760210247444,878.2,,dit,vp,angle,64,6,0.0022574340533526105,0.9999,256,256,8,1,479426,600,0.7405551075935364,max_epochs,1.5525675297811798e-15,0.06614693573283481,1.0367640315371165,0.3543036716587065,0.0436712627747701
391,1.7550603699725797,311.7,,dit,vp,angle,64,6,0.002029778154857619,0.999,256,64,8,1,467138,196,0.7290675640106201,patience,1.0120587143113197e-15,0.01696891327217842,0.26325905549588696,0.1871980786518685,0.026817789423881296
392,1.5969511576851798,386.0,,adm,edm,angle,48,5,0.0009271292816066125,0.999,128,64,4,,2822450,78,0.820620059967041,patience,1.790485190643633e-16,0.03761126655060565,0.23954267365277696,0.2984514339371628,0.03921437260663637
395,3.4744584691643894,278.7,,dit,vp,angle,64,6,0.004349090830852579,0.999,256,256,8,1,479426,175,0.7274718880653381,patience,1.0787856246534182e-15,0.014980506163723817,0.5211687703746584,0.175673481231534,0.0782406953073049
393,1.6574658508744635,381.2,,adm,edm,angle,48,5,0.0001489729954444085,0.999,128,256,4,,2859314,73,0.8223305940628052,patience,1.7892392197817548e-16,0.04506581018536404,0.24861987763116952,0.2716934216773505,0.034008107454233556
396,1.4772949608475487,312.9,,dit,vp,angle,64,6,0.0021819054397211584,0.999,256,256,8,1,479426,194,0.7276910543441772,patience,9.60437270095695e-16,0.00905791913934495,0.2215942441271323,0.15787153346282382,0.04412696646513007
394,1.7341970372477333,445.4,,adm,edm,angle,48,5,0.0001717945348188307,0.999,128,128,4,,2834738,90,0.822222888469696,patience,1.9610949672406696e-16,0.04394691999757816,0.26012955558716,0.31753400910304563,0.04636200519005959
399,4.655701958027149,191.0,,mlp,edm,angle,256,7,0.0009074041023726706,0.999,128,64,,,1036608,189,0.8336673974990845,patience,2.0069603093241908e-16,0.058702842031153724,0.6983552937040722,0.2873060151731014,0.058764442044831194
