
# ===== 2026-09-21 00:49:35 KST  HPO attempt 580  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'edm', 'domain': 'angle', 'lr': 0.0033251774974429054, 'ema': 0.99, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}  params=479426
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.671869e-01 | val 1.002432e+00 |   1.028 s | best 1.002432e+00 @1 *
epoch   13 | train 8.944706e-01 | val 8.826211e-01 |   1.412 s | best 8.826211e-01 @13 *
epoch   14 | train 8.964340e-01 | val 8.823610e-01 |   1.408 s | best 8.823610e-01 @14 *
epoch   15 | train 8.936590e-01 | val 8.820104e-01 |   1.409 s | best 8.820104e-01 @15 *
epoch   16 | train 8.942597e-01 | val 8.813412e-01 |   1.396 s | best 8.813412e-01 @16 *
epoch   17 | train 8.915008e-01 | val 8.804660e-01 |   1.373 s | best 8.804660e-01 @17 *
epoch   18 | train 8.912808e-01 | val 8.791353e-01 |   1.372 s | best 8.791353e-01 @18 *
epoch   19 | train 8.853482e-01 | val 8.771700e-01 |   1.374 s | best 8.771700e-01 @19 *
epoch   20 | train 8.776123e-01 | val 8.745575e-01 |   1.371 s | best 8.745575e-01 @20 *
epoch   21 | train 8.759594e-01 | val 8.713951e-01 |   1.372 s | best 8.713951e-01 @21 *
epoch   22 | train 8.763851e-01 | val 8.679819e-01 |   1.372 s | best 8.679819e-01 @22 *
epoch   23 | train 8.706462e-01 | val 8.644357e-01 |   1.371 s | best 8.644357e-01 @23 *
epoch   24 | train 8.698412e-01 | val 8.614165e-01 |   1.372 s | best 8.614165e-01 @24 *
epoch   25 | train 8.658122e-01 | val 8.586673e-01 |   1.371 s | best 8.586673e-01 @25 *
epoch   26 | train 8.635337e-01 | val 8.555934e-01 |   1.374 s | best 8.555934e-01 @26 *
epoch   27 | train 8.594187e-01 | val 8.522691e-01 |   1.373 s | best 8.522691e-01 @27 *
epoch   28 | train 8.592951e-01 | val 8.490915e-01 |   1.370 s | best 8.490915e-01 @28 *
epoch   29 | train 8.558974e-01 | val 8.461810e-01 |   1.371 s | best 8.461810e-01 @29 *
epoch   30 | train 8.590008e-01 | val 8.437581e-01 |   1.371 s | best 8.437581e-01 @30 *
epoch   31 | train 8.548808e-01 | val 8.416522e-01 |   1.382 s | best 8.416522e-01 @31 *
epoch   32 | train 8.519214e-01 | val 8.401710e-01 |   1.375 s | best 8.401710e-01 @32 *
epoch   33 | train 8.524781e-01 | val 8.392153e-01 |   1.359 s | best 8.392153e-01 @33 *
epoch   34 | train 8.510309e-01 | val 8.383346e-01 |   1.365 s | best 8.383346e-01 @34 *
epoch   35 | train 8.490177e-01 | val 8.373532e-01 |   1.365 s | best 8.373532e-01 @35 *
epoch   36 | train 8.477751e-01 | val 8.364732e-01 |   1.366 s | best 8.364732e-01 @36 *
epoch   37 | train 8.492924e-01 | val 8.358567e-01 |   1.363 s | best 8.358567e-01 @37 *
epoch   38 | train 8.513900e-01 | val 8.351132e-01 |   1.364 s | best 8.351132e-01 @38 *
epoch   39 | train 8.471579e-01 | val 8.344963e-01 |   1.370 s | best 8.344963e-01 @39 *
epoch   40 | train 8.496374e-01 | val 8.337895e-01 |   1.373 s | best 8.337895e-01 @40 *
epoch   41 | train 8.477854e-01 | val 8.330956e-01 |   1.371 s | best 8.330956e-01 @41 *
epoch   42 | train 8.477143e-01 | val 8.324292e-01 |   1.368 s | best 8.324292e-01 @42 *
epoch   43 | train 8.458113e-01 | val 8.318388e-01 |   1.369 s | best 8.318388e-01 @43 *
epoch   44 | train 8.402578e-01 | val 8.312770e-01 |   1.371 s | best 8.312770e-01 @44 *
epoch   45 | train 8.446771e-01 | val 8.306445e-01 |   1.369 s | best 8.306445e-01 @45 *
epoch   46 | train 8.456314e-01 | val 8.297973e-01 |   1.366 s | best 8.297973e-01 @46 *
epoch   47 | train 8.444355e-01 | val 8.290045e-01 |   1.368 s | best 8.290045e-01 @47 *
epoch   48 | train 8.417965e-01 | val 8.281461e-01 |   1.371 s | best 8.281461e-01 @48 *
epoch   49 | train 8.441154e-01 | val 8.274682e-01 |   1.371 s | best 8.274682e-01 @49 *
epoch   50 | train 8.423895e-01 | val 8.268834e-01 |   1.368 s | best 8.268834e-01 @50 *
epoch   51 | train 8.418235e-01 | val 8.263447e-01 |   1.366 s | best 8.263447e-01 @51 *
epoch   52 | train 8.387765e-01 | val 8.259712e-01 |   1.367 s | best 8.259712e-01 @52 *
epoch   53 | train 8.401338e-01 | val 8.255009e-01 |   1.369 s | best 8.255009e-01 @53 *
epoch   54 | train 8.387904e-01 | val 8.251954e-01 |   1.367 s | best 8.251954e-01 @54 *
epoch   55 | train 8.408287e-01 | val 8.249632e-01 |   1.366 s | best 8.249632e-01 @55 *
epoch   56 | train 8.404041e-01 | val 8.247393e-01 |   1.367 s | best 8.247393e-01 @56 *
epoch   57 | train 8.382327e-01 | val 8.245391e-01 |   1.377 s | best 8.245391e-01 @57 *
epoch   58 | train 8.388431e-01 | val 8.242793e-01 |   1.397 s | best 8.242793e-01 @58 *
epoch   59 | train 8.415580e-01 | val 8.241749e-01 |   1.375 s | best 8.241749e-01 @59 *
epoch   60 | train 8.381132e-01 | val 8.238156e-01 |   1.377 s | best 8.238156e-01 @60 *
epoch   61 | train 8.341931e-01 | val 8.235984e-01 |   1.376 s | best 8.235984e-01 @61 *
epoch   62 | train 8.345531e-01 | val 8.235298e-01 |   1.375 s | best 8.235298e-01 @62 *
epoch   63 | train 8.402317e-01 | val 8.233426e-01 |   1.375 s | best 8.233426e-01 @63 *
epoch   64 | train 8.373850e-01 | val 8.230862e-01 |   1.377 s | best 8.230862e-01 @64 *
epoch   65 | train 8.329095e-01 | val 8.229827e-01 |   1.373 s | best 8.229827e-01 @65 *
epoch   66 | train 8.367893e-01 | val 8.230059e-01 |   1.376 s | best 8.229827e-01 @65
epoch   67 | train 8.326119e-01 | val 8.228484e-01 |   1.375 s | best 8.228484e-01 @67 *
epoch   68 | train 8.375838e-01 | val 8.226535e-01 |   1.375 s | best 8.226535e-01 @68 *
epoch   69 | train 8.381028e-01 | val 8.224098e-01 |   1.378 s | best 8.224098e-01 @69 *
epoch   70 | train 8.380383e-01 | val 8.223326e-01 |   1.373 s | best 8.223326e-01 @70 *
epoch   71 | train 8.331985e-01 | val 8.222852e-01 |   1.375 s | best 8.222852e-01 @71 *
epoch   72 | train 8.355748e-01 | val 8.224440e-01 |   1.375 s | best 8.222852e-01 @71
epoch   73 | train 8.392529e-01 | val 8.223529e-01 |   1.461 s | best 8.222852e-01 @71
epoch   74 | train 8.314303e-01 | val 8.221690e-01 |   1.431 s | best 8.221690e-01 @74 *
epoch   75 | train 8.342553e-01 | val 8.220532e-01 |   1.441 s | best 8.220532e-01 @75 *
epoch   76 | train 8.358903e-01 | val 8.219887e-01 |   1.437 s | best 8.219887e-01 @76 *
epoch   77 | train 8.355659e-01 | val 8.218952e-01 |   1.439 s | best 8.218952e-01 @77 *
epoch   78 | train 8.349982e-01 | val 8.217272e-01 |   1.416 s | best 8.217272e-01 @78 *
epoch   79 | train 8.317782e-01 | val 8.216246e-01 |   1.434 s | best 8.216246e-01 @79 *
epoch   80 | train 8.350310e-01 | val 8.213555e-01 |   1.413 s | best 8.213555e-01 @80 *
epoch   81 | train 8.373971e-01 | val 8.213103e-01 |   1.425 s | best 8.213103e-01 @81 *
epoch   82 | train 8.354624e-01 | val 8.212736e-01 |   1.450 s | best 8.212736e-01 @82 *
epoch   83 | train 8.328250e-01 | val 8.211681e-01 |   1.436 s | best 8.211681e-01 @83 *
epoch   84 | train 8.335505e-01 | val 8.210233e-01 |   1.429 s | best 8.210233e-01 @84 *
epoch   85 | train 8.345005e-01 | val 8.209139e-01 |   1.424 s | best 8.209139e-01 @85 *
epoch   86 | train 8.351667e-01 | val 8.209035e-01 |   1.412 s | best 8.209035e-01 @86 *
epoch   87 | train 8.311809e-01 | val 8.209674e-01 |   1.379 s | best 8.209035e-01 @86
epoch   88 | train 8.336317e-01 | val 8.208169e-01 |   1.379 s | best 8.208169e-01 @88 *
epoch   89 | train 8.333353e-01 | val 8.207048e-01 |   1.378 s | best 8.207048e-01 @89 *
epoch   90 | train 8.329610e-01 | val 8.207597e-01 |   1.379 s | best 8.207048e-01 @89
epoch   91 | train 8.330616e-01 | val 8.208470e-01 |   1.379 s | best 8.207048e-01 @89
epoch   92 | train 8.335151e-01 | val 8.210151e-01 |   1.377 s | best 8.207048e-01 @89
epoch   93 | train 8.334157e-01 | val 8.210625e-01 |   1.378 s | best 8.207048e-01 @89
epoch   94 | train 8.339278e-01 | val 8.209710e-01 |   1.378 s | best 8.207048e-01 @89
epoch   95 | train 8.346141e-01 | val 8.208573e-01 |   1.378 s | best 8.207048e-01 @89
epoch   96 | train 8.298009e-01 | val 8.209471e-01 |   1.380 s | best 8.207048e-01 @89
epoch   97 | train 8.282307e-01 | val 8.209504e-01 |   1.379 s | best 8.207048e-01 @89
epoch   98 | train 8.323767e-01 | val 8.208267e-01 |   1.378 s | best 8.207048e-01 @89
epoch   99 | train 8.351488e-01 | val 8.210119e-01 |   1.379 s | best 8.207048e-01 @89
epoch  100 | train 8.333752e-01 | val 8.209132e-01 |   1.379 s | best 8.207048e-01 @89
epoch  101 | train 8.297579e-01 | val 8.208750e-01 |   1.378 s | best 8.207048e-01 @89
epoch  102 | train 8.310217e-01 | val 8.209244e-01 |   1.377 s | best 8.207048e-01 @89
epoch  103 | train 8.291974e-01 | val 8.209033e-01 |   1.379 s | best 8.207048e-01 @89
epoch  104 | train 8.315934e-01 | val 8.208439e-01 |   1.340 s | best 8.207048e-01 @89
# done        : 104 epochs, stopped_by=patience, aborted=False, best val 8.207048e-01 @ epoch 89, wall 149.4 s, 1.436 s/epoch
