
# ===== 2026-09-21 00:54:58 KST  HPO attempt 588  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'edm', 'domain': 'angle', 'lr': 0.0010696206544948022, 'ema': 0.99, 'batch': 128, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}  params=479426
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.664471e-01 | val 1.002486e+00 |   2.750 s | best 1.002486e+00 @1 *
epoch   66 | train 8.419651e-01 | val 8.265414e-01 |   2.720 s | best 8.265414e-01 @66 *
epoch   67 | train 8.412463e-01 | val 8.263725e-01 |   2.719 s | best 8.263725e-01 @67 *
epoch   68 | train 8.415203e-01 | val 8.264210e-01 |   2.724 s | best 8.263725e-01 @67
epoch   69 | train 8.337985e-01 | val 8.264372e-01 |   2.723 s | best 8.263725e-01 @67
epoch   70 | train 8.434884e-01 | val 8.261009e-01 |   2.722 s | best 8.261009e-01 @70 *
epoch   71 | train 8.414450e-01 | val 8.259076e-01 |   2.729 s | best 8.259076e-01 @71 *
epoch   72 | train 8.380845e-01 | val 8.257139e-01 |   2.727 s | best 8.257139e-01 @72 *
epoch   73 | train 8.390712e-01 | val 8.255448e-01 |   2.833 s | best 8.255448e-01 @73 *
epoch   74 | train 8.410980e-01 | val 8.254054e-01 |   2.789 s | best 8.254054e-01 @74 *
epoch   75 | train 8.387437e-01 | val 8.254809e-01 |   2.789 s | best 8.254054e-01 @74
epoch   76 | train 8.372786e-01 | val 8.252884e-01 |   2.787 s | best 8.252884e-01 @76 *
epoch   77 | train 8.404614e-01 | val 8.249932e-01 |   2.789 s | best 8.249932e-01 @77 *
epoch   78 | train 8.378726e-01 | val 8.246144e-01 |   2.790 s | best 8.246144e-01 @78 *
epoch   79 | train 8.370618e-01 | val 8.245001e-01 |   2.785 s | best 8.245001e-01 @79 *
epoch   80 | train 8.385798e-01 | val 8.240856e-01 |   2.789 s | best 8.240856e-01 @80 *
epoch   81 | train 8.368153e-01 | val 8.242685e-01 |   2.790 s | best 8.240856e-01 @80
epoch   82 | train 8.384473e-01 | val 8.241974e-01 |   2.788 s | best 8.240856e-01 @80
epoch   83 | train 8.416055e-01 | val 8.242658e-01 |   2.789 s | best 8.240856e-01 @80
epoch   84 | train 8.417134e-01 | val 8.240159e-01 |   2.780 s | best 8.240159e-01 @84 *
epoch   85 | train 8.411343e-01 | val 8.235558e-01 |   2.779 s | best 8.235558e-01 @85 *
epoch   86 | train 8.342094e-01 | val 8.231175e-01 |   2.784 s | best 8.231175e-01 @86 *
epoch   87 | train 8.383547e-01 | val 8.228072e-01 |   2.780 s | best 8.228072e-01 @87 *
epoch   88 | train 8.384823e-01 | val 8.228118e-01 |   2.790 s | best 8.228072e-01 @87
epoch   89 | train 8.385245e-01 | val 8.227791e-01 |   2.785 s | best 8.227791e-01 @89 *
epoch   90 | train 8.359281e-01 | val 8.226023e-01 |   2.784 s | best 8.226023e-01 @90 *
epoch   91 | train 8.371218e-01 | val 8.224190e-01 |   2.785 s | best 8.224190e-01 @91 *
epoch   92 | train 8.338668e-01 | val 8.223317e-01 |   2.792 s | best 8.223317e-01 @92 *
epoch   93 | train 8.342669e-01 | val 8.221624e-01 |   2.791 s | best 8.221624e-01 @93 *
epoch   94 | train 8.360284e-01 | val 8.222100e-01 |   2.787 s | best 8.221624e-01 @93
epoch   95 | train 8.373174e-01 | val 8.221294e-01 |   2.788 s | best 8.221294e-01 @95 *
epoch   96 | train 8.338109e-01 | val 8.221008e-01 |   2.791 s | best 8.221008e-01 @96 *
epoch   97 | train 8.356426e-01 | val 8.220884e-01 |   2.791 s | best 8.220884e-01 @97 *
epoch   98 | train 8.344741e-01 | val 8.222826e-01 |   2.791 s | best 8.220884e-01 @97
epoch   99 | train 8.323081e-01 | val 8.222457e-01 |   2.787 s | best 8.220884e-01 @97
epoch  100 | train 8.332079e-01 | val 8.223191e-01 |   2.785 s | best 8.220884e-01 @97
epoch  101 | train 8.325028e-01 | val 8.221413e-01 |   2.787 s | best 8.220884e-01 @97
epoch  102 | train 8.338465e-01 | val 8.218504e-01 |   2.781 s | best 8.218504e-01 @102 *
epoch  103 | train 8.353408e-01 | val 8.217094e-01 |   2.789 s | best 8.217094e-01 @103 *
epoch  104 | train 8.313523e-01 | val 8.216668e-01 |   2.796 s | best 8.216668e-01 @104 *
epoch  105 | train 8.349910e-01 | val 8.215922e-01 |   2.790 s | best 8.215922e-01 @105 *
epoch  106 | train 8.310427e-01 | val 8.217733e-01 |   2.792 s | best 8.215922e-01 @105
epoch  107 | train 8.310280e-01 | val 8.217873e-01 |   2.789 s | best 8.215922e-01 @105
epoch  108 | train 8.379586e-01 | val 8.215355e-01 |   2.790 s | best 8.215355e-01 @108 *
epoch  109 | train 8.322926e-01 | val 8.214585e-01 |   2.785 s | best 8.214585e-01 @109 *
epoch  110 | train 8.366343e-01 | val 8.211483e-01 |   2.789 s | best 8.211483e-01 @110 *
epoch  111 | train 8.336095e-01 | val 8.211210e-01 |   2.788 s | best 8.211210e-01 @111 *
epoch  112 | train 8.347351e-01 | val 8.212355e-01 |   2.785 s | best 8.211210e-01 @111
epoch  113 | train 8.332795e-01 | val 8.211654e-01 |   2.788 s | best 8.211210e-01 @111
epoch  114 | train 8.307800e-01 | val 8.208730e-01 |   2.787 s | best 8.208730e-01 @114 *
epoch  115 | train 8.321140e-01 | val 8.208256e-01 |   2.786 s | best 8.208256e-01 @115 *
epoch  116 | train 8.307380e-01 | val 8.208128e-01 |   2.794 s | best 8.208128e-01 @116 *
epoch  117 | train 8.330717e-01 | val 8.210167e-01 |   2.780 s | best 8.208128e-01 @116
epoch  118 | train 8.311711e-01 | val 8.208827e-01 |   2.767 s | best 8.208128e-01 @116
epoch  119 | train 8.342246e-01 | val 8.209105e-01 |   2.793 s | best 8.208128e-01 @116
epoch  120 | train 8.318229e-01 | val 8.210778e-01 |   2.789 s | best 8.208128e-01 @116
epoch  121 | train 8.332617e-01 | val 8.209202e-01 |   2.779 s | best 8.208128e-01 @116
epoch  122 | train 8.322322e-01 | val 8.211542e-01 |   2.782 s | best 8.208128e-01 @116
epoch  123 | train 8.316267e-01 | val 8.211205e-01 |   2.786 s | best 8.208128e-01 @116
epoch  124 | train 8.313452e-01 | val 8.211900e-01 |   2.780 s | best 8.208128e-01 @116
epoch  125 | train 8.328960e-01 | val 8.211922e-01 |   2.781 s | best 8.208128e-01 @116
epoch  126 | train 8.315571e-01 | val 8.212898e-01 |   2.770 s | best 8.208128e-01 @116
epoch  127 | train 8.285355e-01 | val 8.210245e-01 |   2.781 s | best 8.208128e-01 @116
epoch  128 | train 8.310827e-01 | val 8.208226e-01 |   2.780 s | best 8.208128e-01 @116
epoch  129 | train 8.328300e-01 | val 8.206686e-01 |   2.767 s | best 8.206686e-01 @129 *
epoch  130 | train 8.314869e-01 | val 8.207233e-01 |   2.772 s | best 8.206686e-01 @129
epoch  131 | train 8.284207e-01 | val 8.208835e-01 |   2.784 s | best 8.206686e-01 @129
epoch  132 | train 8.294168e-01 | val 8.210148e-01 |   2.765 s | best 8.206686e-01 @129
epoch  133 | train 8.300255e-01 | val 8.209679e-01 |   2.746 s | best 8.206686e-01 @129
epoch  134 | train 8.314603e-01 | val 8.208662e-01 |   2.767 s | best 8.206686e-01 @129
epoch  135 | train 8.308539e-01 | val 8.211036e-01 |   2.786 s | best 8.206686e-01 @129
epoch  136 | train 8.349699e-01 | val 8.211531e-01 |   2.763 s | best 8.206686e-01 @129
epoch  137 | train 8.310512e-01 | val 8.211381e-01 |   2.760 s | best 8.206686e-01 @129
epoch  138 | train 8.302506e-01 | val 8.211325e-01 |   2.803 s | best 8.206686e-01 @129
epoch  139 | train 8.332577e-01 | val 8.213531e-01 |   2.879 s | best 8.206686e-01 @129
epoch  140 | train 8.288453e-01 | val 8.212715e-01 |   2.882 s | best 8.206686e-01 @129
epoch  141 | train 8.310601e-01 | val 8.210338e-01 |   2.883 s | best 8.206686e-01 @129
epoch  142 | train 8.303385e-01 | val 8.209660e-01 |   2.876 s | best 8.206686e-01 @129
epoch  143 | train 8.307491e-01 | val 8.211413e-01 |   2.884 s | best 8.206686e-01 @129
epoch  144 | train 8.293366e-01 | val 8.210430e-01 |   2.887 s | best 8.206686e-01 @129
# done        : 144 epochs, stopped_by=patience, aborted=False, best val 8.206686e-01 @ epoch 129, wall 409.8 s, 2.846 s/epoch
